player_id,name,position,team,engine_value,sf_engine_value,value_confidence,engine_value_8,sf_engine_value_8,engine_value_10,sf_engine_value_10,engine_value_12,sf_engine_value_12,engine_value_14,sf_engine_value_14
8210,Chig Okonkwo,TE,TEN,129.1,114.3,0.286,129.1,114.3,129.1,114.3,129.1,114.3,129.1,114.3
4066,Evan Engram,TE,DEN,126.3,111.9,0.273,126.3,111.9,126.3,111.9,126.3,111.9,126.3,111.9
6826,Cole Kmet,TE,CHI,121.9,108.1,0.277,121.9,108.1,121.9,108.1,121.9,108.1,121.9,108.1
2505,Darren Waller,TE,MIA,119.3,106.0,0.285,119.3,106.0,119.3,106.0,119.3,106.0,119.3,106.0
1339,Zach Ertz,TE,WSH,116.4,103.5,0.282,116.4,103.5,116.4,103.5,116.4,103.5,116.4,103.5
6843,Albert Okwuegbunam Jr.,TE,LV,115.4,102.7,0.297,115.4,102.7,115.4,102.7,115.4,102.7,115.4,102.7
8131,Isaiah Likely,TE,BAL,111.4,99.3,0.274,111.4,99.3,111.4,99.3,111.4,99.3,111.4,99.3
4144,Jonnu Smith,TE,PIT,110.4,98.4,0.271,110.4,98.4,110.4,98.4,110.4,98.4,110.4,98.4
8172,Greg Dulcich,TE,MIA,108.8,97.0,0.297,108.8,97.0,108.8,97.0,108.8,97.0,108.8,97.0
3271,Tyler Higbee,TE,LAR,103.2,92.3,0.278,103.2,92.3,103.2,92.3,103.2,92.3,103.2,92.3
5857,Noah Fant,TE,CIN,101.3,90.6,0.276,101.3,90.6,101.3,90.6,101.3,90.6,101.3,90.6
5906,Dawson Knox,TE,BUF,99.3,89.0,0.292,99.3,89.0,99.3,89.0,99.3,89.0,99.3,89.0
4993,Mike Gesicki,TE,CIN,94.3,84.7,0.275,94.3,84.7,94.3,84.7,94.3,84.7,94.3,84.7
5010,Will Dissly,TE,LAC,67.3,61.7,0.271,67.3,61.7,67.3,61.7,67.3,61.7,67.3,61.7
9493,Puka Nacua,WR,LAR,999.9,888.2,0.304,999.9,888.2,999.9,888.2,999.9,888.2,999.9,888.2
9488,Jaxon Smith-Njigba,WR,SEA,932.0,800.7,0.304,925.2,794.8,932.0,800.7,937.7,805.7,940.6,808.3
7564,Ja'Marr Chase,WR,CIN,899.7,772.5,0.278,889.7,763.8,899.7,772.5,908.1,779.8,912.4,783.6
7547,Amon-Ra St. Brown,WR,DET,854.9,733.6,0.292,840.5,721.1,854.9,733.6,867.0,744.1,873.1,749.4
10229,Rashee Rice,WR,KC,838.6,719.7,0.298,824.1,707.1,838.6,719.7,850.8,730.3,856.9,735.7
8112,Drake London,WR,ATL,792.2,679.9,0.292,776.0,666.0,792.2,679.9,805.8,691.7,812.5,697.7
8144,Chris Olave,WR,NO,704.9,604.7,0.304,681.5,584.6,704.9,604.7,724.2,621.4,733.7,629.7
8137,George Pickens,WR,DAL,673.3,577.6,0.304,647.7,555.7,673.3,577.6,694.4,595.8,704.6,604.7
7569,Nico Collins,WR,HOU,668.4,573.4,0.283,641.6,550.4,668.4,573.4,690.6,592.5,701.3,601.8
