player_id,name,position,team,engine_value,sf_engine_value
1837,Jimmy Garoppolo,QB,LAR,126.2,232.8
9230,Tanner McKee,QB,PHI,121.9,229.8
12486,Dillon Gabriel,QB,CLE,121.1,233.6
4972,Mason Rudolph,QB,PIT,110.2,213.2
11256,Tyson Bagent,QB,CHI,95.2,192.9
5854,Drew Lock,QB,SEA,85.1,178.2
4381,Taysom Hill,QB,NO,83.5,173.9
4574,Cooper Rush,QB,BAL,58.0,142.7
829,Andy Dalton,QB,CAR,30.0,115.0
9221,Jahmyr Gibbs,RB,DET,999.9,999.9
9509,Bijan Robinson,RB,ATL,969.8,969.3
9226,De'Von Achane,RB,MIA,861.3,860.0
11584,Bucky Irving,RB,TB,667.9,665.0
12507,Omarion Hampton,RB,LAC,614.2,610.9
12527,Ashton Jeanty,RB,LV,598.3,594.7
8150,Kyren Williams,RB,LAR,589.9,586.4
8155,Breece Hall,RB,NYJ,582.7,579.0
12481,Cam Skattebo,RB,NYG,564.3,560.4
12512,Quinshon Judkins,RB,CLE,495.8,491.2
12529,TreVeyon Henderson,RB,NE,475.9,471.1
8138,James Cook III,RB,BUF,475.4,470.5
6813,Jonathan Taylor,RB,IND,469.7,464.8
9224,Chase Brown,RB,CIN,467.1,462.2
8151,Kenneth Walker III,RB,SEA,458.1,453.0
4034,Christian McCaffrey,RB,SF,457.7,452.7
7588,Javonte Williams,RB,DAL,447.4,442.2
9753,Zach Charbonnet,RB,SEA,394.6,388.7
7543,Travis Etienne Jr.,RB,JAX,374.2,368.0
5850,Josh Jacobs,RB,GB,368.3,362.0
4866,Saquon Barkley,RB,PHI,367.6,361.3
3198,Derrick Henry,RB,BAL,366.6,360.3
6790,D'Andre Swift,RB,CHI,356.2,349.8
11589,Trey Benson,RB,ARI,355.0,348.6
9508,Tyjae Spears,RB,TEN,342.2,335.6
12489,RJ Harvey,RB,DEN,341.0,334.3
8228,Jaylen Warren,RB,PIT,328.9,322.1
12534,Kyle Monangai,RB,CHI,318.6,311.5
7611,Rhamondre Stevenson,RB,NE,318.4,311.3
7567,Kenneth Gainwell,RB,PIT,316.1,308.9
6806,J.K. Dobbins,RB,DEN,315.8,308.7
7021,Rico Dowdle,RB,CAR,303.8,296.4
11647,Kimani Vidal,RB,LAC,303.7,296.4
11655,Tyrone Tracy Jr.,RB,NYG,303.2,295.9
7594,Chuba Hubbard,RB,CAR,303.0,295.6
4035,Alvin Kamara,RB,NO,291.8,284.3
12476,Devin Neal,RB,NO,287.7,280.0
12474,Woody Marks,RB,HOU,287.6,279.9
4137,James Conner,RB,ARI,285.2,277.5
5892,David Montgomery,RB,DET,281.4,273.6
8122,Bam Knight,RB,ARI,278.4,270.6
8136,Rachaad White,RB,TB,277.6,269.7
5967,Tony Pollard,RB,TEN,274.7,266.8
9225,Tank Bigsby,RB,PHI,274.2,266.3
12533,Jacory Croskey-Merritt,RB,WSH,272.1,264.1
11586,Blake Corum,RB,LAR,270.6,262.7
8132,Tyler Allgeier,RB,ATL,269.0,261.0
9506,Sean Tucker,RB,TB,260.6,252.4
9511,Keaton Mitchell,RB,BAL,257.2,248.9
4199,Aaron Jones Sr.,RB,MIN,256.4,248.1
7607,Michael Carter,RB,ARI,252.2,243.8
8205,Isiah Pacheco,RB,KC,249.8,241.4
8408,Jordan Mason,RB,MIN,244.6,236.1
10219,Chris Rodriguez Jr.,RB,WSH,242.8,234.2
4098,Kareem Hunt,RB,KC,229.7,220.7
8154,Brian Robinson Jr.,RB,SF,220.5,211.4
8143,Jerome Ford,RB,CLE,215.6,206.3
7528,Najee Harris,RB,LAC,198.8,188.9
4663,Austin Ekeler,RB,WSH,198.0,188.1
6130,Devin Singletary,RB,NYG,196.8,186.9
5995,Justice Hill,RB,BAL,195.5,185.6
4988,Nick Chubb,RB,HOU,192.1,182.0
6151,Miles Sanders,RB,DAL,190.0,179.9
4018,Joe Mixon,RB,HOU,185.1,174.9
6945,Antonio Gibson,RB,NE,178.6,168.1
4147,Samaje Perine,RB,CIN,158.6,147.3
2749,Raheem Mostert,RB,LV,155.4,143.9
2359,Ameer Abdullah,RB,IND,125.8,112.7
6828,AJ Dillon,RB,PHI,112.8,98.8
8130,Trey McBride,TE,ARI,936.3,935.6
9484,Tucker Kraft,TE,GB,596.3,592.7
11604,Brock Bowers,TE,LV,581.6,577.9
10859,Sam LaPorta,TE,DET,556.9,553.0
7553,Kyle Pitts Sr.,TE,ATL,477.3,472.5
8110,Jake Ferguson,TE,DAL,409.5,403.8
10236,Dalton Kincaid,TE,BUF,404.1,398.4
4217,George Kittle,TE,SF,394.1,388.2
5022,Dallas Goedert,TE,PHI,335.1,328.3
1466,Travis Kelce,TE,KC,305.9,298.6
9480,Brenton Strange,TE,JAX,304.6,297.3
5844,T.J. Hockenson,TE,MIN,304.2,296.9
5001,Dalton Schultz,TE,HOU,302.8,295.5
8111,Cade Otton,TE,TB,300.8,293.4
7002,Juwan Johnson,TE,NO,298.6,291.2
3214,Hunter Henry,TE,NE,294.7,287.2
4033,David Njoku,TE,CLE,292.3,284.8
12518,Tyler Warren,TE,IND,291.3,283.8
5012,Mark Andrews,TE,BAL,284.3,276.6
12506,Harold Fannin Jr.,TE,CLE,270.3,262.3
11597,Theo Johnson,TE,NYG,263.2,255.0
7600,Pat Freiermuth,TE,PIT,257.6,249.3
6865,Colby Parkinson,TE,LAR,256.9,248.6
11603,AJ Barner,TE,SEA,254.4,246.0
8210,Chig Okonkwo,TE,TEN,251.9,243.5
1339,Zach Ertz,TE,WSH,250.8,242.3
4066,Evan Engram,TE,DEN,250.6,242.2
12517,Colston Loveland,TE,CHI,249.8,241.4
2505,Darren Waller,TE,MIA,245.7,237.1
4144,Jonnu Smith,TE,PIT,236.6,227.8
6826,Cole Kmet,TE,CHI,233.3,224.4
12493,Oronde Gadsden II,TE,LAC,223.2,214.1
3271,Tyler Higbee,TE,LAR,210.6,201.1
8131,Isaiah Likely,TE,BAL,206.9,197.4
6843,Albert Okwuegbunam Jr.,TE,LV,206.5,196.9
5857,Noah Fant,TE,CIN,196.3,186.4
8172,Greg Dulcich,TE,MIA,195.1,185.2
4993,Mike Gesicki,TE,CIN,191.9,181.8
5906,Dawson Knox,TE,BUF,191.6,181.6
12498,Mason Taylor,TE,NYJ,177.8,167.3
5010,Will Dissly,TE,LAC,122.7,109.4
9493,Puka Nacua,WR,LAR,999.9,999.9
9488,Jaxon Smith-Njigba,WR,SEA,879.7,878.6
7564,Ja'Marr Chase,WR,CIN,878.9,877.8
7547,Amon-Ra St. Brown,WR,DET,791.7,789.9
10229,Rashee Rice,WR,KC,748.4,746.3
8112,Drake London,WR,ATL,725.4,723.1
8137,George Pickens,WR,DAL,688.6,686.0
6786,CeeDee Lamb,WR,DAL,642.5,639.4
8144,Chris Olave,WR,NO,627.6,624.4
11632,Malik Nabers,WR,NYG,603.2,599.7
7569,Nico Collins,WR,HOU,578.1,574.4
8146,Garrett Wilson,WR,NYJ,577.4,573.7
9997,Zay Flowers,WR,BAL,558.7,554.8
6794,Justin Jefferson,WR,MIN,553.0,549.1
6801,Tee Higgins,WR,CIN,527.3,523.1
8148,Jameson Williams,WR,DET,526.6,522.4
8126,Wan'Dale Robinson,WR,NYG,516.3,511.9
5859,A.J. Brown,WR,PHI,493.5,488.9
11635,Ladd McConkey,WR,LAC,474.4,469.5
3321,Tyreek Hill,WR,MIA,464.8,459.8
11631,Brian Thomas Jr.,WR,JAX,462.0,457.0
2133,Davante Adams,WR,LAR,460.2,455.2
9754,Quentin Johnston,WR,LAC,458.6,453.6
9756,Jordan Addison,WR,MIN,450.7,445.6
7525,DeVonta Smith,WR,PHI,448.8,443.7
7526,Jaylen Waddle,WR,MIA,440.7,435.4
10232,Michael Wilson,WR,ARI,437.7,432.4
5846,DK Metcalf,WR,PIT,436.6,431.3
8167,Christian Watson,WR,GB,436.5,431.1
8142,Alec Pierce,WR,IND,432.4,427.1
11620,Rome Odunze,WR,CHI,432.2,426.8
6819,Michael Pittman Jr.,WR,IND,431.1,425.7
5045,Courtland Sutton,WR,DEN,423.1,417.6
4037,Chris Godwin Jr.,WR,TB,416.7,411.1
5872,Deebo Samuel,WR,WSH,414.4,408.8
4983,DJ Moore,WR,CHI,410.0,404.3
2449,Stefon Diggs,WR,NE,407.8,402.1
5927,Terry McLaurin,WR,WSH,407.8,402.1
11628,Marvin Harrison Jr.,WR,ARI,406.5,400.8
8134,Khalil Shakir,WR,BUF,403.9,398.1
9487,Parker Washington,WR,JAX,402.8,397.0
5947,Jakobi Meyers,WR,JAX,402.0,396.2
8121,Romeo Doubs,WR,GB,402.0,396.2
1479,Keenan Allen,WR,LAC,398.3,392.4
2216,Mike Evans,WR,TB,397.8,392.0
7049,Jauan Jennings,WR,SF,396.1,390.2
9500,Josh Downs,WR,IND,393.6,387.7
10222,Jayden Reed,WR,GB,383.8,377.8
12526,Tetairoa McMillan,WR,CAR,382.6,376.6
8676,Rashid Shaheed,WR,SEA,371.0,364.8
10213,Tre Tucker,WR,LV,370.3,364.0
12514,Emeka Egbuka,WR,TB,367.7,361.5
6783,Jerry Jeudy,WR,CLE,366.7,360.4
11638,Ricky Pearsall,WR,SF,366.3,360.0
11627,Troy Franklin,WR,DEN,365.2,358.9
11624,Xavier Worthy,WR,KC,349.1,342.5
9504,Kayshon Boutte,WR,NE,348.5,341.9
11618,Jalen McMillan,WR,TB,335.2,328.4
11637,Keon Coleman,WR,BUF,331.6,324.8
11646,Jalen Coker,WR,CAR,327.7,320.8
5848,Hollywood Brown,WR,KC,327.0,320.1
4039,Cooper Kupp,WR,SEA,320.1,313.1
12530,Travis Hunter,WR,JAX,315.7,308.5
4981,Calvin Ridley,WR,TEN,308.8,301.5
9494,Marvin Mims Jr.,WR,DEN,306.3,299.1
9501,DeMario Douglas,WR,NE,303.3,296.0
12519,Luther Burden III,WR,CHI,302.6,295.2
9486,Dontayvion Wicks,WR,GB,296.5,289.0
7090,Darnell Mooney,WR,ATL,295.8,288.3
12497,Tory Horton,WR,SEA,295.5,288.0
11626,Xavier Legette,WR,CAR,295.5,288.0
11610,Malik Washington,WR,MIA,293.6,286.1
12484,Jayden Higgins,WR,HOU,292.8,285.3
6149,Darius Slayton,WR,NYG,290.5,282.9
7571,Rashod Bateman,WR,BAL,287.7,280.0
