player_id,name,position,team,engine_value
5409,Tanner Hudson,TE,CIN,336.5
2197,Brandin Cooks,WR,NO,360.8
6843,Albert Okwuegbunam Jr.,TE,LV,459.0
9225,Tank Bigsby,RB,PHI,441.2
13122,Carter Runyon,TE,LV,386.0
8177,Grant Calcaterra,TE,PHI,378.7
12529,TreVeyon Henderson,RB,NE,684.6
12487,Terrance Ferguson,TE,LAR,406.2
10212,Josh Whyle,TE,GB,395.2
3271,Tyler Higbee,TE,LAR,335.1
8225,Daniel Bellinger,TE,NYG,420.3
12506,Harold Fannin Jr.,TE,CLE,551.3
8423,Brittain Brown,RB,CHI,301.2
8139,Zamir White,RB,LV,197.7
4034,Christian McCaffrey,RB,SF,875.4
12389,Hayden Rucci,TE,MIA,383.7
7496,Nick Westbrook-Ikhine,WR,MIA,377.3
12507,Omarion Hampton,RB,LAC,813.7
11646,Jalen Coker,WR,CAR,544.5
11439,Jaleel McLaughlin,RB,DEN,296.7
12493,Oronde Gadsden II,TE,LAC,484.1
8228,Jaylen Warren,RB,PIT,499.6
6786,CeeDee Lamb,WR,DAL,774.3
9481,Luke Musgrave,TE,GB,415.5
6768,Tua Tagovailoa,QB,MIA,535.8
5347,Nyheim Hines,RB,LAC,50.0
8205,Isiah Pacheco,RB,KC,339.3
8111,Cade Otton,TE,TB,447.9
4950,Christian Kirk,WR,HOU,461.9
12519,Luther Burden III,WR,CHI,556.0
11596,Ben Sinnott,TE,WSH,399.2
13101,Gage Larvadain,WR,CLE,442.6
6699,Gunner Olszewski,WR,NYG,367.7
2374,Tyler Lockett,WR,LV,380.7
4866,Saquon Barkley,RB,PHI,550.6
12518,Tyler Warren,TE,IND,599.6
6794,Justin Jefferson,WR,MIN,622.9
11575,Ray Davis,RB,BUF,223.3
4435,,,,307.1
8110,Jake Ferguson,TE,DAL,587.3
12472,Raheim Sanders,RB,CLE,521.3
8143,Jerome Ford,RB,CLE,255.7
5285,Ross Dwelley,TE,DET,295.7
7039,Cody White,WR,SEA,430.9
11630,Roman Wilson,WR,PIT,470.6
11577,Will Shipley,RB,PHI,399.0
10227,Payne Durham,TE,TB,380.9
7523,Trevor Lawrence,QB,JAX,688.7
829,Andy Dalton,QB,CAR,268.6
5001,Dalton Schultz,TE,HOU,450.3
9500,Josh Downs,WR,IND,599.3
12531,Trevor Etienne,RB,CAR,453.5
8183,Brock Purdy,QB,SF,694.9
8112,Drake London,WR,ATL,934.3
12485,Tez Johnson,WR,TB,544.8
6826,Cole Kmet,TE,CHI,428.2
11618,Jalen McMillan,WR,TB,513.0
11384,Owen Wright,RB,TB,140.0
