player_id,name,position,team,engine_value,sf_engine_value,value_confidence,engine_value_8,sf_engine_value_8,engine_value_10,sf_engine_value_10,engine_value_12,sf_engine_value_12,engine_value_14,sf_engine_value_14
3198,Derrick Henry,RB,BAL,456.9,392.5,0.266,456.9,392.5,456.9,392.5,456.9,392.5,456.9,392.5
9753,Zach Charbonnet,RB,SEA,450.6,387.2,0.278,430.4,370.0,450.6,387.2,469.0,402.7,499.5,428.7
7588,Javonte Williams,RB,DAL,436.8,375.4,0.29,423.1,363.8,436.8,375.4,457.5,393.0,485.7,416.9
4866,Saquon Barkley,RB,PHI,432.8,372.1,0.264,432.8,372.1,432.8,372.1,432.8,372.1,432.8,372.1
5850,Josh Jacobs,RB,GB,430.3,369.9,0.272,430.3,369.9,430.3,369.9,430.3,369.9,430.3,369.9
7543,Travis Etienne Jr.,RB,NO,419.4,360.6,0.29,419.4,360.6,419.4,360.6,419.4,360.6,419.4,360.6
12738,Phil Mafah,RB,DAL,397.9,342.4,0.29,377.9,325.4,397.9,342.4,420.8,361.9,451.2,387.7
9508,Tyjae Spears,RB,TEN,387.4,333.5,0.274,368.2,317.2,387.4,333.5,408.5,351.4,437.1,375.7
11589,Trey Benson,RB,ARI,383.5,330.1,0.29,363.5,313.2,383.5,330.1,404.5,348.0,433.1,372.3
6790,D'Andre Swift,RB,CHI,377.9,325.5,0.282,377.9,325.5,377.9,325.5,377.9,325.5,377.9,325.5
11579,Audric Estime,RB,NO,375.7,323.5,0.29,353.2,304.5,375.7,323.5,395.9,340.7,427.2,367.3
7611,Rhamondre Stevenson,RB,NE,374.9,322.8,0.28,374.9,322.8,374.9,322.8,374.9,322.8,374.9,322.8
6806,J.K. Dobbins,RB,DEN,363.0,312.8,0.267,363.0,312.8,363.0,312.8,363.0,312.8,363.0,312.8
8228,Jaylen Warren,RB,PIT,362.9,312.7,0.29,362.9,312.7,362.9,312.7,362.9,312.7,362.9,312.7
7567,Kenneth Gainwell,RB,TB,352.4,303.8,0.29,352.4,303.8,352.4,303.8,352.4,303.8,352.4,303.8
5892,David Montgomery,RB,HOU,349.8,301.5,0.264,349.8,301.5,349.8,301.5,349.8,301.5,349.8,301.5
11647,Kimani Vidal,RB,LAC,348.4,300.4,0.29,342.2,295.1,348.4,300.4,366.3,315.5,398.1,342.6
7021,Rico Dowdle,RB,PIT,338.0,291.5,0.278,338.0,291.5,338.0,291.5,338.0,291.5,338.0,291.5
4035,Alvin Kamara,RB,NO,334.6,288.6,0.264,334.6,288.6,334.6,288.6,334.6,288.6,334.6,288.6
7594,Chuba Hubbard,RB,CAR,331.2,285.7,0.264,331.2,285.7,331.2,285.7,331.2,285.7,331.2,285.7
